State,Area Name,"Less Than A High School Diploma, 2017-21","High School Diploma Only, 2017-21","Some College Or Associate'S Degree, 2017-21","Bachelor'S Degree Or Higher, 2017-21","Percent Of Adults With Less Than A High School Diploma, 2017-21","Percent Of Adults With A High School Diploma Only, 2017-21","Percent Of Adults Completing Some College Or Associate'S Degree, 2017-21","Percent Of Adults With A Bachelor'S Degree Or Higher, 2017-21",Estimate Of People Of All Ages In Poverty 2020,Estimated Percent Of People Of All Ages In Poverty 2020,Employed_2020,Unemployed_2020,Unemployment_Rate_2020,Median_Household_Income_2020,"County Household Median Income As A Percent Of The State Total Median Household Income, 2020"
AR,Izard County,1838.0,3414.0,3270.0,1748.0,17.89678675754625,33.24245374878286,31.84031158714703,17.02044790652386,2539.0,20.1,4261.0,394.0,8.5,41787.0,81.70140382434599
AR,Jackson County,1980.0,5169.0,3319.0,1519.0,16.51789438558438,43.12171519145741,27.68832902310837,12.67206139984984,3344.0,23.1,5428.0,424.0,7.2,40789.0,79.75012708716224
AR,Jefferson County,5383.0,19219.0,12779.0,9030.0,11.59854344875137,41.41044149016397,27.53442071922604,19.45659434185861,11303.0,18.9,25079.0,2208.0,8.1,40588.0,79.35713447776952
AR,Johnson County,3377.0,6929.0,3931.0,2716.0,19.91977821034625,40.87182209638412,23.18763640653572,16.02076328673391,4465.0,17.3,9498.0,642.0,6.3,39439.0,77.11062448676338
AR,Lafayette County,864.0,2095.0,1117.0,490.0,18.92247043363995,45.8826106000876,24.46342531756461,10.73149364870784,1289.0,19.8,2233.0,186.0,7.7,40007.0,78.22117076604232
AR,Lawrence County,1668.0,4271.0,3398.0,1631.0,15.20787746170678,38.94055433989789,30.98103574033552,14.87053245805981,3006.0,19.2,6377.0,420.0,6.2,41188.0,80.53024674461345
AR,Lee County,1141.0,2847.0,1650.0,610.0,18.2618437900128,45.56658130601793,26.40845070422535,9.763124199743919,2527.0,36.8,2536.0,211.0,7.7,32502.0,63.54749149493607
AR,Lincoln County,1855.0,4753.0,2401.0,862.0,18.79242224698612,48.15114983284368,24.32377671968392,8.732651200486274,2223.0,23.6,3637.0,231.0,6.0,47903.0,93.65932819770852
AR,Little River County,847.0,3656.0,2629.0,1246.0,10.10981141083791,43.63809978515158,31.37980424922416,14.87228455478634,1943.0,16.2,5003.0,350.0,6.5,47125.0,92.13819262503422
AR,Logan County,1853.0,6704.0,4635.0,1908.0,12.27152317880795,44.39735099337748,30.69536423841059,12.63576158940397,3308.0,15.8,8085.0,579.0,6.7,43577.0,85.20118875376373
