,County,State,Total Population,Land Area (m^2),Population Density (per m^2),Median Gross Rent,Income per capita,"Less Than A High School Diploma, 2017-21","High School Diploma Only, 2017-21","Some College Or Associate'S Degree, 2017-21","Bachelor'S Degree Or Higher, 2017-21","Percent Of Adults With Less Than A High School Diploma, 2017-21","Percent Of Adults With A High School Diploma Only, 2017-21","Percent Of Adults Completing Some College Or Associate'S Degree, 2017-21","Percent Of Adults With A Bachelor'S Degree Or Higher, 2017-21",Estimate Of People Of All Ages In Poverty 2020,Estimated Percent Of People Of All Ages In Poverty 2020,Employed_2020,Unemployed_2020,Unemployment_Rate_2020,Median_Household_Income_2020,"County Household Median Income As A Percent Of The State Total Median Household Income, 2020"
369,Monroe,New York,743084.0,657.21,1130.66447558619,947.0,35339.0,46804.0,121141.0,147572.0,209945.0,8.90720927488572,23.05418850459215,28.08423825129124,39.95436396923089,100122.0,13.9,20553.0,1889.0,8.4,52482.0,71.54620061618998
370,Onondaga,New York,461591.0,778.39,593.0073613484243,888.0,34600.0,28245.0,82746.0,95544.0,118738.0,8.683475111675424,25.4389389835615,29.37348012285065,36.50410578191243,56835.0,12.8,51828.0,3871.0,6.9,62777.0,85.5808817515064
371,Orleans,New York,40624.0,391.26,103.82865613658437,782.0,26894.0,3866.0,12062.0,8662.0,5120.0,13.01245371928644,40.59912487377987,29.15516661056883,17.23325479636486,4978.0,13.2,48386.0,4568.0,8.6,58439.0,79.66709381901464
372,Putnam,New York,98714.0,230.31,428.61360774608136,1489.0,47533.0,4702.0,18591.0,17977.0,29267.0,6.666005075350526,26.35638033939635,25.48591519344458,41.49169939180856,5516.0,5.7,1005557.0,145409.0,12.6,78847.0,107.488344193909
373,Richmond,New York,475596.0,58.37,8147.952715436012,1379.0,38096.0,39258.0,102905.0,82052.0,120174.0,11.39931879357355,29.88045495065174,23.82538350528036,34.89484275049436,49625.0,10.6,143862.0,11980.0,7.7,94874.0,129.33718679281293
374,Anson,North Carolina,24430.0,531.45,45.96857653589237,746.0,22483.0,2804.0,6566.0,4752.0,1881.0,17.52171467849778,41.02980691120415,29.69443229394489,11.75404611635318,4692.0,20.7,11501.0,744.0,6.1,44543.0,74.71651905528716
375,Beaufort,North Carolina,47160.0,827.19,57.01229463605701,742.0,28077.0,4026.0,10453.0,11555.0,6660.0,12.31418608919068,31.97222731999755,35.34287636875268,20.37071022205909,8434.0,18.1,6922.0,455.0,6.2,41889.0,70.26469404186795
376,Brunswick,North Carolina,137303.0,846.97,162.1108185650023,984.0,34528.0,7671.0,29757.0,35290.0,33707.0,7.207892882311487,27.96053558844256,33.1595019967113,31.67206953253465,16628.0,11.2,122736.0,10772.0,8.1,66156.0,110.97020933977456
377,Cabarrus,North Carolina,211605.0,361.75,584.9481686247408,966.0,33548.0,13680.0,37076.0,44980.0,51030.0,9.32095989534361,25.26198165787716,30.64742515296459,34.76963329381464,17543.0,8.0,31936.0,2657.0,7.7,50235.0,84.26429146537842
378,Carteret,North Carolina,69301.0,506.25,136.89086419753087,921.0,34038.0,4094.0,12350.0,19664.0,15583.0,7.920140836896171,23.89197345766188,38.04143854829661,30.14644715714535,6394.0,9.3,8684.0,706.0,7.5,48070.0,80.63271604938271
379,Chatham,North Carolina,72853.0,682.19,106.79282897726439,873.0,45036.0,5818.0,10851.0,13740.0,24865.0,10.52574447298911,19.63129138473785,24.85798024387596,44.98498389839708,7186.0,9.6,9832.0,822.0,7.7,44449.0,74.55884326355341
380,Cleveland,North Carolina,97765.0,464.25,210.58696822832525,694.0,23061.0,9305.0,23769.0,22201.0,12887.0,13.65130131158123,34.87133593497843,32.57093395146856,18.90642880197177,14524.0,15.0,20209.0,1720.0,7.8,40712.0,68.29039184111649
381,Cumberland,North Carolina,334562.0,652.32,512.8801815060093,949.0,25648.0,16602.0,55060.0,81709.0,53574.0,8.022421416318345,26.60610307086424,39.48343762835536,25.88803788446206,58933.0,18.5,13214.0,841.0,6.0,73433.0,123.1766639828234
382,Davidson,North Carolina,166837.0,552.68,301.8690743287255,716.0,26616.0,16811.0,38289.0,40403.0,22778.0,14.21276451839264,32.3712176934588,34.15848699283909,19.25753079530947,20044.0,12.0,18470.0,1293.0,6.5,65418.0,109.73228663446056
383,Monterey,California,432977.0,3280.6,131.9810400536487,1600.0,32122.0,75771.0,56912.0,73530.0,74311.0,27.01052316379347,20.28774721592448,26.21166103435,26.49006858593204,47870.0,11.6,189830.0,24007.0,11.2,85031.0,102.44575366561848
384,Napa,California,138572.0,748.36,185.16756641188732,1775.0,46912.0,14541.0,17698.0,29842.0,36464.0,14.75569536759856,17.95930793038713,30.28261200466792,37.00238469734639,10356.0,7.9,62575.0,6202.0,9.0,92149.0,111.02155395718124
385,Nevada,California,99417.0,957.77,103.80049489961056,1315.0,41079.0,3827.0,14963.0,29399.0,30391.0,4.870195978620514,19.04174090099262,37.41282769152456,38.6752354288623,9040.0,9.2,42871.0,3826.0,8.2,74158.0,89.34591149504223
386,Orange,California,3170345.0,790.57,4010.2015001834116,1928.0,43049.0,294180.0,378888.0,598758.0,925364.0,13.38891948352214,17.24420737396402,27.25107978827502,42.11579335423882,280128.0,9.0,1420678.0,140784.0,9.0,98786.0,119.01784315851616
387,Placer,California,391799.0,1407.01,278.46212891166374,1616.0,46023.0,14584.0,49539.0,100475.0,117251.0,5.174401896050722,17.57643277073894,35.6485210165727,41.60064431663763,25815.0,6.5,172621.0,14043.0,7.5,100662.0,121.27805689088082
388,Plumas,California,18844.0,2553.04,7.381004606273305,944.0,34334.0,820.0,4108.0,6655.0,3464.0,5.449591280653951,27.30112314747126,44.22808533262445,23.02120023925035,2509.0,13.5,6768.0,847.0,11.1,58489.0,70.46782568884711
389,Riverside,California,2437864.0,7206.48,338.2877632353105,1447.0,29913.0,267525.0,423504.0,511637.0,370132.0,17.00949517992775,26.92678907272262,32.53036944350133,23.5333463038483,275176.0,11.2,1003553.0,113705.0,10.2,76409.0,92.05792701292756
390,Sacramento,California,1537948.0,964.64,1594.323270857522,1333.0,34078.0,127455.0,235075.0,363694.0,341705.0,11.93478218121242,22.01223115019819,34.05600934144498,31.99697732714441,192386.0,12.5,641956.0,67757.0,9.5,72953.0,87.8941217575692
391,Sierra,California,2898.0,953.21,3.040253459363624,1032.0,32533.0,130.0,681.0,981.0,515.0,5.635023840485479,29.51885565669701,42.52275682704811,22.3233636757694,331.0,11.5,1176.0,107.0,8.3,59422.0,71.59190853122251
392,Solano,California,444538.0,821.77,540.9518478406367,1684.0,36685.0,34837.0,74274.0,116367.0,86981.0,11.14930278852585,23.77079872879322,37.24232619319655,27.83757228948438,40283.0,9.3,181675.0,19843.0,9.8,83678.0,100.81565282345996
393,Sonoma,California,496801.0,1575.85,315.2590665355205,1743.0,44071.0,38619.0,65278.0,120203.0,132345.0,10.83449059462189,18.31362482290395,33.7227342226711,37.12915035980306,37609.0,7.8,225417.0,19895.0,8.1,87366.0,105.25897278346044
394,Sutter,California,96315.0,602.41,159.88280407031758,1095.0,29495.0,13202.0,15907.0,22792.0,12971.0,20.35084474041189,24.52059440128253,35.13380194845234,19.99475890985325,10984.0,11.5,40238.0,5202.0,11.4,65791.0,79.26531005650534
395,Tehama,California,64176.0,2949.71,21.75671506690488,972.0,29012.0,6389.0,13014.0,17864.0,7627.0,14.23130039648951,28.98828351227336,39.79150888760191,16.98890720363523,8467.0,13.3,23282.0,2348.0,9.2,61571.0,74.18103396344623
396,Tulare,California,463955.0,4824.22,96.17202366392908,974.0,22092.0,76249.0,73748.0,86136.0,42332.0,27.38189718636094,26.4837591797892,30.93243316036127,15.20191047348859,79348.0,17.1,174781.0,27426.0,13.6,62058.0,74.76777388224238
397,Tuolumne,California,54147.0,2220.88,24.380876049133676,1025.0,35694.0,3344.0,10658.0,17887.0,10396.0,7.908241693271846,25.20515549249143,42.30105238264159,24.58555043159513,6158.0,12.1,17998.0,2155.0,10.7,63336.0,76.30751436729678
398,Yolo,California,218774.0,1014.69,215.60673703298542,1369.0,36036.0,15832.0,22654.0,34203.0,54999.0,12.39897249545768,17.74168285195163,26.78638556481424,43.07295908777646,31066.0,14.8,96435.0,8203.0,7.8,80668.0,97.18919049168082
399,Yuba,California,77524.0,631.84,122.6956191440871,1015.0,25774.0,9568.0,11785.0,20436.0,9018.0,18.83205070167497,23.19562265042218,40.22280394433838,17.74952270356447,12816.0,16.3,27370.0,3295.0,10.7,56278.0,67.80400236141733
400,Ashley,Arkansas,20000.0,925.35,21.613443561895497,530.0,23138.0,1988.0,6823.0,2988.0,1612.0,14.8236522257848,50.87614644694654,22.28021773171277,12.01998359555589,3279.0,17.1,6506.0,672.0,9.4,44677.0,87.35189457631095
401,Baxter,Arkansas,41673.0,554.28,75.18402251569604,722.0,27695.0,3593.0,10992.0,11191.0,5892.0,11.345838069976,34.71011746873816,35.33851206265,18.60553239863584,6013.0,14.4,15584.0,992.0,6.0,44833.0,87.65690376569037
402,Boone,Arkansas,37525.0,590.23,63.576910695830435,638.0,24749.0,2849.0,8849.0,9820.0,4648.0,10.88817549491707,33.81869601773293,37.52961858900864,17.76350989834136,5255.0,14.1,15019.0,838.0,5.3,48153.0,94.14812497556017
403,Calhoun,Arkansas,5160.0,628.58,8.208978968468612,647.0,24823.0,543.0,1490.0,984.0,421.0,15.79406631762653,43.3391506689936,28.62129144851658,12.24549156486329,798.0,16.2,2289.0,127.0,5.3,50865.0,99.45059242169476
404,Carroll,Arkansas,28062.0,630.09,44.53649478645907,576.0,26445.0,2948.0,7009.0,5585.0,4389.0,14.79102905022327,35.16632381716923,28.02167477798405,22.02097235462345,3935.0,14.1,12013.0,722.0,5.7,45397.0,88.75962929652368
405,Clark,Arkansas,22341.0,866.07,25.795836364266165,600.0,21708.0,1193.0,4037.0,3859.0,3516.0,9.46449821499405,32.02697342324474,30.61483538278461,27.8936929789766,3830.0,20.1,8711.0,552.0,6.0,46464.0,90.84581394439448
406,Clay,Arkansas,14710.0,639.47,23.00342471108887,625.0,22935.0,1625.0,4430.0,2844.0,1448.0,15.70503527592539,42.81434232144583,27.48622789214265,13.99439451048613,2577.0,18.1,5209.0,337.0,6.1,43723.0,85.48664607202909
407,Cleveland,Arkansas,8063.0,597.78,13.488239820669813,618.0,23998.0,514.0,2584.0,1509.0,924.0,9.293075393238112,46.7184957512204,27.28258904357259,16.7058398119689,1086.0,13.8,3055.0,197.0,6.1,57697.0,112.8084307668244
408,Columbia,Arkansas,23620.0,766.05,30.833496508060833,681.0,23217.0,1824.0,5590.0,3805.0,2832.0,12.98128247099851,39.78364529215003,27.07992313714326,20.1551490997082,3857.0,18.3,8437.0,621.0,6.9,44925.0,87.83678097993977
409,Craighead,Arkansas,109081.0,707.21,154.24131446105116,780.0,28407.0,7292.0,23151.0,19662.0,20412.0,10.34076889260746,32.83038132648865,27.88263822907951,28.94621155182438,18130.0,16.8,53304.0,3005.0,5.3,51797.0,101.27282680952568
410,Crittenden,Arkansas,48381.0,609.76,79.34433219627394,734.0,24161.0,4784.0,10940.0,9749.0,5392.0,15.49975700631784,35.4446784383606,31.58593876559209,17.46962578972947,10671.0,22.9,19339.0,1763.0,8.4,47545.0,92.95937121182496
411,Cross,Arkansas,16576.0,616.38,26.892501379019436,727.0,25205.0,2138.0,4907.0,3051.0,1651.0,18.20039158934196,41.7723674129565,25.97258874606283,14.05465225163872,3357.0,21.2,6820.0,444.0,6.1,40587.0,79.35517929065811
412,Desha,Arkansas,11538.0,768.15,15.02050380785003,565.0,19090.0,1477.0,3415.0,1779.0,1057.0,19.11231884057971,44.18995859213251,23.02018633540373,13.67753623188406,2507.0,22.8,4916.0,373.0,7.1,37421.0,73.16505689594494
413,Drew,Arkansas,18263.0,828.36,22.04717755565213,661.0,26440.0,1456.0,4090.0,2972.0,2652.0,13.03491495076097,36.61593554162936,26.60698299015219,23.74216651745747,3152.0,18.4,7180.0,536.0,6.9,46787.0,91.4773393813788
414,Franklin,Arkansas,17785.0,608.86,29.210327497290017,607.0,20639.0,1596.0,4911.0,4045.0,1251.0,13.52198593577904,41.60806574599678,34.27094806405151,10.59900025417267,2692.0,15.3,7058.0,423.0,5.7,47256.0,92.39432213662847
415,Fulton,Arkansas,12301.0,618.19,19.89841310923826,532.0,20564.0,1224.0,3229.0,3236.0,989.0,14.10463240377967,37.20903433970961,37.28969808711685,11.39663516939387,2077.0,17.0,4675.0,254.0,5.2,39839.0,77.89269933132601
416,Grant,Arkansas,18229.0,631.81,28.85202829964705,700.0,30639.0,1055.0,5351.0,3893.0,2255.0,8.403696033136848,42.62386490361638,31.01003664170782,17.96240242153895,1809.0,9.9,7858.0,431.0,5.2,62077.0,121.37215031478512
417,Hempstead,Arkansas,21695.0,727.52,29.820486034748185,681.0,22178.0,2181.0,5182.0,3969.0,2159.0,16.16633311096286,38.41079238010526,29.41961307538359,16.00326143354829,3914.0,18.7,9125.0,503.0,5.2,42790.0,83.66245649708677
418,Independence,Arkansas,37585.0,763.95,49.19824595850513,653.0,25046.0,3610.0,9405.0,8201.0,4178.0,14.21595652516343,37.03630778924155,32.29503032212334,16.45270536347169,5499.0,15.0,15770.0,967.0,5.8,50834.0,99.38998162124116
419,Izard,Arkansas,13596.0,580.58,23.41796134899583,596.0,21189.0,1838.0,3414.0,3270.0,1748.0,17.89678675754625,33.24245374878286,31.84031158714703,17.02044790652386,2539.0,20.1,4261.0,394.0,8.5,41787.0,81.70140382434599
420,Mono,California,14395.0,3048.98,4.721251041331855,1248.0,37103.0,1214.0,2124.0,3355.0,2804.0,12.78298410024218,22.3649573549542,35.32694535116352,29.5251131936401,1285.0,9.0,6917.0,958.0,12.2,73204.0,88.19652775267768
421,Jefferson,Arkansas,68123.0,870.75,78.2348550100488,741.0,21941.0,5383.0,19219.0,12779.0,9030.0,11.59854344875137,41.41044149016397,27.53442071922604,19.45659434185861,11303.0,18.9,25079.0,2208.0,8.1,40588.0,79.35713447776952
422,Johnson,Arkansas,26475.0,659.8,40.12579569566535,619.0,22077.0,3377.0,6929.0,3931.0,2716.0,19.91977821034625,40.87182209638412,23.18763640653572,16.02076328673391,4465.0,17.3,9498.0,642.0,6.3,39439.0,77.11062448676338
423,Lawrence,Arkansas,16511.0,587.61,28.098568778611664,552.0,22113.0,1668.0,4271.0,3398.0,1631.0,15.20787746170678,38.94055433989789,30.98103574033552,14.87053245805981,3006.0,19.2,6377.0,420.0,6.2,41188.0,80.53024674461345
424,Lincoln,Arkansas,13278.0,561.52,23.646530844849693,550.0,14182.0,1855.0,4753.0,2401.0,862.0,18.79242224698612,48.15114983284368,24.32377671968392,8.732651200486274,2223.0,23.6,3637.0,231.0,6.0,47903.0,93.65932819770852
425,Lonoke,Arkansas,73163.0,770.73,94.92688749626977,816.0,28446.0,4955.0,18597.0,15689.0,10015.0,10.05968815981809,37.7558063992204,31.85195712197499,20.33254831898652,7974.0,10.9,31886.0,1875.0,5.6,59623.0,116.57412114339344
426,Madison,Arkansas,16393.0,834.26,19.64974947857982,607.0,22733.0,1734.0,5735.0,2467.0,1556.0,15.0887573964497,49.90428123912287,21.4671075530804,13.53985381134702,2797.0,16.9,7001.0,291.0,4.0,45144.0,88.26496695733782
427,Miller,Arkansas,43515.0,625.58,69.55944883148437,742.0,23828.0,3828.0,10586.0,9851.0,4950.0,13.10285812082834,36.23481088481944,33.71897997603971,16.94335101831251,8050.0,19.2,18003.0,1340.0,6.9,43634.0,85.3126344191139
428,Monroe,Arkansas,6879.0,607.12,11.330544208723152,508.0,24610.0,1030.0,2007.0,1169.0,655.0,21.18905574984571,41.28780086401974,24.04854968113557,13.47459370499897,1543.0,23.8,2541.0,181.0,6.6,35833.0,70.06021976303131
429,Montgomery,Arkansas,8964.0,779.88,11.494076011694107,551.0,22892.0,1030.0,2111.0,2295.0,985.0,16.0411150911073,32.87649898769662,35.74209624669054,15.34028967450553,1666.0,18.8,2752.0,206.0,7.0,42751.0,83.58620419974191
430,Bates,Missouri,16282.0,836.69,19.46001505934097,631.0,27020.0,1321.0,5329.0,2865.0,1547.0,11.94178267944314,48.17392876514192,25.89947568251673,13.98481287289821,2351.0,14.8,6687.0,525.0,7.3,44141.0,75.05441066449025
431,Benton,Missouri,19305.0,704.06,27.419538107547655,679.0,27310.0,1953.0,6065.0,4814.0,2137.0,13.04696372503173,40.51706860845748,32.15979691362148,14.27617075288931,3260.0,16.8,5064.0,300.0,5.6,48198.0,81.95266272189349
432,Bollinger,Missouri,12181.0,617.91,19.713226845333462,687.0,21813.0,1168.0,3699.0,1934.0,920.0,15.12757414842637,47.90830203341536,25.04856883823339,11.91555497992488,1955.0,16.3,91790.0,4062.0,4.2,62673.0,106.56498673740052
433,Boone,Missouri,179704.0,685.41,262.1846777841,888.0,32050.0,5542.0,23120.0,28402.0,53752.0,5.001082876118972,20.863413225527,25.62987294253537,48.50563095581865,22178.0,12.8,41457.0,2136.0,4.9,53133.0,90.3438073862477
434,Buchanan,Missouri,87904.0,408.03,215.43513957307061,784.0,26854.0,6079.0,22170.0,16933.0,12844.0,10.47633819322373,38.2070106503981,29.18174611381105,22.13490504256712,10789.0,13.1,16990.0,1130.0,6.2,42099.0,71.5823301367068
435,Butler,Missouri,42570.0,694.67,61.28089596499058,662.0,22611.0,4625.0,11641.0,9153.0,3834.0,15.81034423819779,39.79420914094281,31.28909855399446,13.10634806686494,8777.0,21.2,4011.0,225.0,5.3,47870.0,81.39495341086854
436,Caldwell,Missouri,9052.0,426.39,21.229390933183236,620.0,24934.0,647.0,2697.0,1765.0,898.0,10.77076743798901,44.89761944398202,29.38238721491593,14.94922590311303,1096.0,12.4,20421.0,949.0,4.4,61268.0,104.17601849962593
437,Callaway,Missouri,44944.0,834.58,53.85223705336816,719.0,26460.0,3321.0,11086.0,8848.0,7353.0,10.85010454783063,36.2192890747517,28.90747516989022,24.02313120752744,4693.0,11.4,17442.0,1296.0,6.9,64357.0,109.42834795619942
438,Camden,Missouri,45823.0,655.92,69.86065373826077,714.0,30402.0,2817.0,11953.0,10562.0,7314.0,8.628928505789377,36.61398027323408,32.35312136249464,22.4039698584819,6407.0,14.0,38321.0,2054.0,5.1,57763.0,98.21635040467932
439,Carroll,Missouri,8723.0,694.62,12.557945351415162,683.0,26629.0,576.0,2674.0,1556.0,1175.0,9.63049657247952,44.70824276876776,26.0157164353787,19.64554422337402,1130.0,13.4,2355.0,163.0,6.5,38854.0,66.06474869074339
440,Carter,Missouri,6085.0,507.36,11.993456322926521,566.0,23382.0,478.0,1910.0,796.0,483.0,13.03517862012544,52.08617398418326,21.70711753476957,13.17152986092174,1205.0,20.3,50977.0,2852.0,5.3,82068.0,139.54295041828198
441,Cedar,Missouri,14144.0,474.48,29.80947563648626,624.0,24397.0,1359.0,3857.0,3089.0,1516.0,13.83769473577029,39.27298645759087,31.45300885856838,15.43630994807046,2603.0,18.5,3585.0,150.0,4.0,60521.0,102.90586955043187
442,Chariton,Missouri,7449.0,751.18,9.916398200165075,504.0,25177.0,452.0,2430.0,1338.0,1006.0,8.649062380405665,46.49827784156142,25.60275545350173,19.24990432453119,854.0,12.0,43392.0,2216.0,4.9,67585.0,114.91702373665238
443,Clark,Missouri,6783.0,504.69,13.439933424478392,601.0,27606.0,621.0,2053.0,1336.0,563.0,13.57970697572709,44.8939427071944,29.21495735840804,12.31139295867046,827.0,12.3,128154.0,8233.0,6.0,74950.0,127.4399782357342
444,Clay,Missouri,246480.0,397.3,620.3876164107727,995.0,34723.0,10957.0,46008.0,54904.0,58040.0,6.448746093497107,27.078024118793,32.3137679581423,34.1594618295676,19299.0,7.7,9880.0,617.0,5.9,66492.0,113.0585594776576
445,Cole,Missouri,76630.0,393.75,194.615873015873,687.0,31790.0,3981.0,15884.0,14761.0,18899.0,7.437645959831854,29.67585240541803,27.57776739841196,35.30873423633815,6649.0,9.3,6767.0,388.0,5.4,51221.0,87.09277018295586
446,Cooper,Missouri,17522.0,564.77,31.02501903429715,641.0,24237.0,1268.0,4517.0,3300.0,2756.0,10.70855502069082,38.1471159530445,27.86926779832785,23.27506122793683,2189.0,13.6,10103.0,685.0,6.3,43785.0,74.44909202203633
447,Dade,Missouri,7571.0,490.01,15.450705087651272,604.0,25237.0,592.0,2400.0,1743.0,760.0,10.77343039126479,43.67606915377616,31.71974522292993,13.83075523202912,1043.0,14.1,6665.0,412.0,5.8,43482.0,73.93389104264436
448,Dallas,Missouri,16841.0,540.77,31.142629953584706,561.0,21883.0,1538.0,5666.0,2957.0,1524.0,13.16217372700043,48.48951647411211,25.30594779632007,13.0423620025674,4092.0,24.1,3933.0,172.0,4.2,49830.0,84.72760661089573
449,DeKalb,Missouri,11872.0,421.36,28.175431934687676,700.0,20810.0,892.0,3965.0,2387.0,1312.0,10.42543244506779,46.34174848059841,27.89855072463768,15.33426834969612,1162.0,12.8,5996.0,302.0,4.8,44057.0,74.91158267020336
450,Dent,Missouri,15518.0,752.79,20.61398265120419,583.0,23254.0,1659.0,4246.0,2766.0,1602.0,16.14912878419157,41.33164606249392,26.92494889516207,15.59427625815244,2309.0,15.1,4745.0,389.0,7.6,46079.0,78.3496565326804
451,Dunklin,Missouri,29657.0,541.07,54.81176187923928,575.0,22879.0,3932.0,7676.0,4676.0,2622.0,20.79763038188935,40.60086744948693,24.73288902993758,13.86861313868613,5682.0,20.2,49318.0,3218.0,6.1,62781.0,106.7486227300551
452,Franklin,Missouri,103629.0,922.68,112.31304460918196,762.0,31133.0,7286.0,24440.0,25430.0,15321.0,10.05284435062158,33.72104253763263,35.08699311505719,21.13911999668861,9353.0,9.1,7153.0,431.0,5.7,54487.0,92.646058627491
453,Gentry,Missouri,6576.0,491.42,13.38162874933865,581.0,25814.0,593.0,1783.0,1027.0,843.0,13.96608572774376,41.99246349505417,24.18747056052755,19.85398021667451,821.0,13.0,141608.0,7984.0,5.3,46934.0,79.803441474529
454,Greene,Missouri,291574.0,675.3,431.7695838886421,779.0,28308.0,13820.0,54625.0,64193.0,61976.0,7.101236293380743,28.06838151417678,32.98478012887048,31.84560206357199,40491.0,14.3,4081.0,195.0,4.6,45363.0,77.13221791471129
455,Harrison,Missouri,8427.0,722.5,11.663667820069204,500.0,21506.0,488.0,2575.0,1643.0,939.0,8.644818423383525,45.61558901682905,29.10540301151461,16.63418954827281,1455.0,17.8,9080.0,564.0,5.8,53544.0,91.04264435829424
456,Henry,Missouri,21854.0,696.95,31.356625295932275,672.0,27483.0,1783.0,6663.0,4737.0,2448.0,11.40681978120402,42.62683129678204,30.30516281747809,15.66118610453586,2960.0,13.6,3673.0,193.0,5.0,36049.0,61.29531388152078
457,Holt,Missouri,4374.0,462.69,9.453413732736822,527.0,28497.0,184.0,1469.0,839.0,657.0,5.843124801524294,46.64973007303906,26.64337885042871,20.86376627500794,501.0,12.2,4605.0,198.0,4.1,53190.0,90.44072638237094
458,Howard,Missouri,10022.0,463.85,21.60612266896626,650.0,25159.0,798.0,2255.0,1716.0,1829.0,12.09457411336769,34.17702334040618,26.00788117611397,27.72052137011216,1181.0,12.7,15108.0,1080.0,6.7,45808.0,77.88886621777868
459,Iron,Missouri,10150.0,550.26,18.445825609711772,624.0,21769.0,1197.0,2714.0,1924.0,1075.0,17.32272069464544,39.27641099855283,27.84370477568741,15.55716353111433,1913.0,19.5,331092.0,25608.0,7.2,56398.0,95.89539549751753
460,Jackson,Missouri,700733.0,604.46,1159.271084935314,936.0,32462.0,41977.0,136438.0,150265.0,157512.0,8.633831901800113,28.0625761016224,30.90651429887781,32.39707769769967,86479.0,12.4,52632.0,3156.0,5.7,51329.0,87.27640617561042
461,Jefferson,Missouri,224777.0,656.63,342.3191142652635,871.0,30800.0,14532.0,49883.0,57838.0,34682.0,9.259884665625895,31.7857711791506,36.85474878134259,22.09959537388091,19991.0,8.9,21757.0,1301.0,5.6,58373.0,99.25355369652452
462,Knox,Missouri,3948.0,504.01,7.833177913136645,561.0,20941.0,328.0,1120.0,639.0,379.0,13.30089213300892,45.4176804541768,25.91240875912409,15.36901865369019,548.0,14.2,15346.0,1358.0,8.1,46191.0,78.54009385839625
463,Laclede,Missouri,35680.0,764.72,46.657600167381524,652.0,23296.0,3263.0,10256.0,6660.0,4039.0,13.47344950037162,42.34866628127838,27.50020645800644,16.67767776034355,5778.0,16.3,15638.0,860.0,5.2,62043.0,105.49377678024894
464,Lawrence,Missouri,38241.0,611.74,62.51185144015431,692.0,22850.0,3777.0,9885.0,7703.0,3861.0,14.97264726869103,39.18576072306351,30.53595496709744,15.30563704114802,5712.0,15.2,4693.0,240.0,4.9,42710.0,72.62123376181732
465,Lewis,Missouri,9898.0,505.04,19.598447647711073,575.0,23054.0,962.0,2979.0,1808.0,838.0,14.60452406254744,45.22544405647487,27.44800364354031,12.72202823743738,1307.0,14.4,27257.0,1766.0,6.1,70054.0,119.11514656872748
466,Linn,Missouri,12004.0,615.56,19.500942231464034,559.0,26981.0,828.0,3776.0,2036.0,1566.0,10.09017791859615,46.01511089446746,24.81111381915671,19.08359736777967,1707.0,14.7,7019.0,270.0,3.7,51402.0,87.40053050397879
467,Livingston,Missouri,14969.0,532.33,28.119775327334548,675.0,24928.0,1238.0,4355.0,2825.0,2102.0,11.7680608365019,41.39733840304182,26.85361216730038,19.98098859315589,1684.0,12.8,9794.0,527.0,5.1,45446.0,77.27334557573285
468,Macon,Missouri,15154.0,801.23,18.9134206158032,545.0,22876.0,1010.0,4756.0,2830.0,1855.0,9.664146971581664,45.50760692756674,27.07874844512487,17.74949765572672,1912.0,13.0,5099.0,353.0,6.5,45002.0,76.51839760593077
469,Madison,Missouri,12176.0,494.39,24.62832986104088,666.0,26063.0,1091.0,3643.0,2640.0,1374.0,12.47142203932327,41.64380429812529,30.17832647462277,15.70644718792867,1935.0,16.3,3707.0,189.0,4.9,47698.0,81.10249608923348
470,Marion,Missouri,28572.0,436.92,65.39412249382038,644.0,25708.0,1999.0,7041.0,5532.0,4677.0,10.38495506260066,36.57852355966543,28.73915528079381,24.2973660969401,3890.0,14.3,1797.0,65.0,3.5,45934.0,78.10310820920901
471,Mercer,Missouri,3623.0,453.84,7.982989599858982,515.0,23272.0,305.0,1042.0,644.0,448.0,12.50512505125051,42.72242722427224,26.40426404264042,18.36818368183682,477.0,13.6,11528.0,740.0,6.0,51348.0,87.30871250765149
472,Mississippi,Missouri,13328.0,411.58,32.3825258758929,637.0,18655.0,1849.0,4303.0,1783.0,1223.0,20.18999781611706,46.98624153745359,19.46931644463857,13.35444420179078,2148.0,19.1,6796.0,304.0,4.3,51138.0,86.9516425219343
473,Moniteau,Missouri,15907.0,415.03,38.32734983013276,640.0,23371.0,1523.0,4475.0,2632.0,1933.0,14.41825239041939,42.36485846823819,24.91716368455931,18.29972545678311,1699.0,11.6,3554.0,221.0,5.9,48661.0,82.73991702373665
474,Montgomery,Missouri,11414.0,536.25,21.284848484848485,660.0,25976.0,1134.0,3507.0,2056.0,1313.0,14.15730337078652,43.78277153558052,25.66791510611736,16.3920099875156,1415.0,13.0,7693.0,509.0,6.2,51582.0,87.70659049173638
475,Morgan,Missouri,20438.0,597.63,34.19841708080251,529.0,25137.0,3067.0,5913.0,3779.0,1925.0,20.88667937891583,40.26831925905748,25.73549441569055,13.10950694633615,3061.0,15.0,7910.0,487.0,5.8,41553.0,70.65394817384207
476,Newton,Missouri,58288.0,624.77,93.29513260880005,704.0,30425.0,4288.0,13968.0,12627.0,8979.0,10.75711203652602,35.04089107420601,31.67678490793237,22.52521198133561,7978.0,13.9,10235.0,473.0,4.4,55821.0,94.91430320342788
477,Nodaway,Missouri,22199.0,876.96,25.31358328772122,663.0,23869.0,729.0,4654.0,3414.0,3258.0,6.047283284944006,38.60638739112402,28.32019908751555,27.02613023641642,2785.0,15.2,3647.0,264.0,6.8,37835.0,64.3321090933823
