,County,State,Total Population,Land Area (m^2),Population Density (per m^2),Median Gross Rent,Income per capita,"Less Than A High School Diploma, 2017-21","High School Diploma Only, 2017-21","Some College Or Associate'S Degree, 2017-21","Bachelor'S Degree Or Higher, 2017-21","Percent Of Adults With Less Than A High School Diploma, 2017-21","Percent Of Adults With A High School Diploma Only, 2017-21","Percent Of Adults Completing Some College Or Associate'S Degree, 2017-21","Percent Of Adults With A Bachelor'S Degree Or Higher, 2017-21",Estimate Of People Of All Ages In Poverty 2020,Estimated Percent Of People Of All Ages In Poverty 2020,Employed_2020,Unemployed_2020,Unemployment_Rate_2020,Median_Household_Income_2020,"County Household Median Income As A Percent Of The State Total Median Household Income, 2020"
184,Coosa,Alabama,10696.0,650.93,16.431874395096248,611.0,25083.0,1217.0,3410.0,2623.0,915.0,14.90508266993264,41.7636252296387,32.12492345376607,11.20636864666258,1808.0,17.4,4156.0,272.0,6.1,46509.0,86.19481819192706
185,Crenshaw,Alabama,13826.0,608.84,22.70875763747454,540.0,26351.0,1742.0,3882.0,2133.0,1524.0,18.76952914556621,41.82738928994721,22.98243723736666,16.42064432711992,2262.0,16.8,5971.0,400.0,6.3,45927.0,85.11620149004781
186,Cullman,Alabama,83345.0,734.84,113.41924772739644,721.0,24770.0,9560.0,19624.0,21400.0,9979.0,15.78521539553853,32.40262206297574,35.33510559252348,16.47705694896224,10381.0,12.5,36992.0,1870.0,4.8,51844.0,96.0821379591534
187,Dallas,Alabama,38184.0,978.7,39.01501992438949,674.0,19653.0,3709.0,10065.0,8304.0,4241.0,14.09248071735248,38.24233443519891,31.5513507352103,16.11383411223831,9471.0,26.7,13091.0,1745.0,11.8,37679.0,69.83023833351865
188,DeKalb,Alabama,71430.0,777.09,91.91985484306836,630.0,22511.0,10522.0,16172.0,14623.0,6969.0,21.79099531955432,33.49210951414489,30.28414033053059,14.4327548357702,10778.0,15.2,29721.0,1568.0,5.0,47156.0,87.39389895844917
189,Escambia,Alabama,36775.0,945.08,38.91204977356414,606.0,18587.0,4697.0,11249.0,6543.0,3227.0,18.26489345154767,43.74319489811791,25.44330377974802,12.54860787058641,6892.0,20.4,13611.0,993.0,6.8,41212.0,76.37792357018421
190,Etowah,Alabama,102721.0,534.99,192.00545804594478,676.0,25094.0,10014.0,24491.0,24986.0,13067.0,13.80137269494749,33.75368670580777,34.43589955621709,18.00904104302765,15650.0,15.6,37912.0,3505.0,8.5,47872.0,88.72085696282294
191,Franklin,Alabama,31587.0,633.82,49.8359155596226,561.0,21503.0,4381.0,9016.0,4922.0,3050.0,20.50166128503907,42.19196031634611,23.0333660910665,14.27301230754832,5357.0,17.2,13844.0,723.0,5.0,40448.0,74.96200748730494
192,Greene,Alabama,8221.0,647.11,12.704177033271005,559.0,16425.0,861.0,2173.0,1797.0,703.0,15.55836646187206,39.2663534513914,32.47199132634622,12.70328876039031,2210.0,27.9,2728.0,366.0,11.8,33609.0,62.28733459357277
193,Hale,Alabama,14754.0,643.94,22.912072553343478,612.0,20652.0,1890.0,3943.0,2664.0,1593.0,18.73141724479683,39.0782953419227,26.402378592666,15.78790882061447,3166.0,21.9,5529.0,636.0,10.3,41836.0,77.53437859075576
194,Houston,Alabama,105319.0,579.82,181.64085405815595,769.0,27794.0,9006.0,23633.0,24570.0,16350.0,12.24323332291086,32.127951712231,33.40175913212523,22.22705583273291,15534.0,14.8,44396.0,2825.0,6.0,54391.0,100.80247599985172
195,Jackson,Alabama,51765.0,1077.87,48.02527206434914,574.0,23844.0,6627.0,14431.0,10579.0,6072.0,17.57405393937787,38.26937866291867,28.0543106420218,16.10225675568167,7777.0,15.3,21727.0,1364.0,5.9,46606.0,86.37458764224026
196,Lamar,Alabama,13854.0,604.85,22.9048524427544,449.0,22299.0,1745.0,4151.0,3062.0,990.0,17.54121431443506,41.72698029754724,30.78005629272216,9.951749095295536,2348.0,17.4,5474.0,314.0,5.4,40204.0,74.50980392156863
197,Lauderdale,Alabama,92870.0,667.7,139.0894114123109,669.0,28540.0,7275.0,22572.0,18101.0,16396.0,11.30641551659828,35.08019395747855,28.13160512246674,25.48178540345642,12630.0,13.9,40026.0,2623.0,6.2,52293.0,96.91426665184032
198,Lee,Alabama,163461.0,607.54,269.0538894558383,856.0,28804.0,9095.0,23254.0,32377.0,40727.0,8.624695361914787,22.05153006552682,30.70277754070534,38.62099703185306,28901.0,17.9,72090.0,4443.0,5.8,58963.0,109.27573297750102
